Title,Company,Location,Link,Review,Salary
Data Scientist,Department of Justice and Community Safety,Melbourne City Centre VIC,https://au.indeed.com/rc/clk?jk=a1042d7e16229a53&fccid=4a4f11207655e7b8&vjs=3,3.4,"$122,502 - $163,934 a year"
RESEARCH ASSISTANT,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=a4fefb5ae1c8e0a8&fccid=4cddfb241cb472e6&vjs=3,4.3,"$67,262 - $73,669 a year"
LECTURER IN DATA SCIENCE AND STATISTICS,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=3cb41103a342f825&fccid=4cddfb241cb472e6&vjs=3,4.3,"$105,232 - $124,958 a year"
Research Assistant,Murdoch Childrens Research Institute,Parkville VIC,https://au.indeed.com/rc/clk?jk=ea3403f1224d98eb&fccid=936b29a9c6fa4576&vjs=3,4.6,"$75,700 - $102,724 a year"
Research Assistant,Australian Catholic University,Melbourne VIC,https://au.indeed.com/rc/clk?jk=fef63eae9cd9bae8&fccid=12098923532dec32&vjs=3,4.0,"$78,786 - $84,664 a year"
RESEARCH ASSISTANT IN YOUTH MENTAL HEALTH,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=0f967c6751c3351c&fccid=4cddfb241cb472e6&vjs=3,4.3,"$73,669 - $99,964 a year"
Research Scientist - Active Remote Sensing,Australian Bureau of Meteorology,Melbourne VIC,https://au.indeed.com/rc/clk?jk=3c9ac3ab4f5a01de&fccid=248d20ccb33ad238&vjs=3,3.6,"$98,209 - $110,623 a year"
RESEARCH FELLOW IN NETWORK SCIENCE FOR BIOLOGICAL DATA QUALI...,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=57539e02d1e65075&fccid=4cddfb241cb472e6&vjs=3,4.3,"$73,669 - $99,964 a year"
Recreational Water Quality Support Officer,Environment Protection Authority,Melbourne VIC,https://au.indeed.com/rc/clk?jk=b6f2146f679e21ec&fccid=b64c8bf102ed60ce&vjs=3,2.0,"$49,216 - $56,208 a year"
Research Officer,Monash University,Melbourne VIC,https://au.indeed.com/rc/clk?jk=b5c476936c99476a&fccid=32277d92eb8a3eca&vjs=3,4.1,"$80,643 - $87,044 a year"
CSIRO Postdoctoral Fellowship in Machine Learning and Artifi...,CSIRO,Melbourne VIC,https://au.indeed.com/rc/clk?jk=8c019b4e4adb71b7&fccid=f6e6c4d709d8e570&vjs=3,4.1,"$86,434 - $94,679 a year"
BOB DICKENS RESEARCH FELLOWSHIP IN PAEDIATRIC ORTHOPAEDICS,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=7bb2a69ee43bbbd7&fccid=4cddfb241cb472e6&vjs=3,4.3,"$128,903 - $148,630 a year"
CSIRO Postdoctoral Fellowship in Machine Learning and Artifi...,CSIRO,Melbourne VIC,https://au.indeed.com/rc/clk?jk=8c019b4e4adb71b7&fccid=f6e6c4d709d8e570&vjs=3,4.1,"$86,434 - $94,679 a year"
BOB DICKENS RESEARCH FELLOWSHIP IN PAEDIATRIC ORTHOPAEDICS,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=7bb2a69ee43bbbd7&fccid=4cddfb241cb472e6&vjs=3,4.3,"$128,903 - $148,630 a year"
CSIRO Postdoctoral Fellowship in Machine Learning and Artifi...,CSIRO,Melbourne VIC,https://au.indeed.com/rc/clk?jk=8c019b4e4adb71b7&fccid=f6e6c4d709d8e570&vjs=3,4.1,"$86,434 - $94,679 a year"
BOB DICKENS RESEARCH FELLOWSHIP IN PAEDIATRIC ORTHOPAEDICS,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=7bb2a69ee43bbbd7&fccid=4cddfb241cb472e6&vjs=3,4.3,"$128,903 - $148,630 a year"
CSIRO Postdoctoral Fellowship in Machine Learning and Artifi...,CSIRO,Melbourne VIC,https://au.indeed.com/rc/clk?jk=8c019b4e4adb71b7&fccid=f6e6c4d709d8e570&vjs=3,4.1,"$86,434 - $94,679 a year"
BOB DICKENS RESEARCH FELLOWSHIP IN PAEDIATRIC ORTHOPAEDICS,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=7bb2a69ee43bbbd7&fccid=4cddfb241cb472e6&vjs=3,4.3,"$128,903 - $148,630 a year"
Analyst,Department of Transport,Melbourne City Centre VIC,https://au.indeed.com/rc/clk?jk=d704759951ffe487&fccid=2bda3e53a1cd95a8&vjs=3,4.0,"$86,558 - $98,210 a year"
Medical Scientist,The Royal Women's Hospital,Parkville VIC,https://au.indeed.com/rc/clk?jk=9f99aa9cfcab2564&fccid=5a95f39f200b3b5e&vjs=3,4.8,"$55,129 - $62,075 a year"
RESEARCH FELLOW IN SUICIDE PREVENTION,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=dcac145e38e911d0&fccid=4cddfb241cb472e6&vjs=3,4.3,"$105,232 - $124,958 a year"
Analyst,Department of Transport,Melbourne City Centre VIC,https://au.indeed.com/rc/clk?jk=d704759951ffe487&fccid=2bda3e53a1cd95a8&vjs=3,4.0,"$86,558 - $98,210 a year"
Medical Scientist,The Royal Women's Hospital,Parkville VIC,https://au.indeed.com/rc/clk?jk=9f99aa9cfcab2564&fccid=5a95f39f200b3b5e&vjs=3,4.8,"$55,129 - $62,075 a year"
RESEARCH FELLOW IN SUICIDE PREVENTION,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=dcac145e38e911d0&fccid=4cddfb241cb472e6&vjs=3,4.3,"$105,232 - $124,958 a year"
Analyst,Department of Transport,Melbourne City Centre VIC,https://au.indeed.com/rc/clk?jk=d704759951ffe487&fccid=2bda3e53a1cd95a8&vjs=3,4.0,"$86,558 - $98,210 a year"
Medical Scientist,The Royal Women's Hospital,Parkville VIC,https://au.indeed.com/rc/clk?jk=9f99aa9cfcab2564&fccid=5a95f39f200b3b5e&vjs=3,4.8,"$55,129 - $62,075 a year"
RESEARCH FELLOW IN SUICIDE PREVENTION,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=dcac145e38e911d0&fccid=4cddfb241cb472e6&vjs=3,4.3,"$105,232 - $124,958 a year"
Analyst,Department of Transport,Melbourne City Centre VIC,https://au.indeed.com/rc/clk?jk=d704759951ffe487&fccid=2bda3e53a1cd95a8&vjs=3,4.0,"$86,558 - $98,210 a year"
Medical Scientist,The Royal Women's Hospital,Parkville VIC,https://au.indeed.com/rc/clk?jk=9f99aa9cfcab2564&fccid=5a95f39f200b3b5e&vjs=3,4.8,"$55,129 - $62,075 a year"
RESEARCH FELLOW IN SUICIDE PREVENTION,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=dcac145e38e911d0&fccid=4cddfb241cb472e6&vjs=3,4.3,"$105,232 - $124,958 a year"
Analyst,Department of Transport,Melbourne City Centre VIC,https://au.indeed.com/rc/clk?jk=d704759951ffe487&fccid=2bda3e53a1cd95a8&vjs=3,4.0,"$86,558 - $98,210 a year"
Medical Scientist,The Royal Women's Hospital,Parkville VIC,https://au.indeed.com/rc/clk?jk=9f99aa9cfcab2564&fccid=5a95f39f200b3b5e&vjs=3,4.8,"$55,129 - $62,075 a year"
RESEARCH FELLOW IN SUICIDE PREVENTION,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=dcac145e38e911d0&fccid=4cddfb241cb472e6&vjs=3,4.3,"$105,232 - $124,958 a year"
Analyst,Department of Transport,Melbourne City Centre VIC,https://au.indeed.com/rc/clk?jk=d704759951ffe487&fccid=2bda3e53a1cd95a8&vjs=3,4.0,"$86,558 - $98,210 a year"
Medical Scientist,The Royal Women's Hospital,Parkville VIC,https://au.indeed.com/rc/clk?jk=9f99aa9cfcab2564&fccid=5a95f39f200b3b5e&vjs=3,4.8,"$55,129 - $62,075 a year"
RESEARCH FELLOW IN SUICIDE PREVENTION,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=dcac145e38e911d0&fccid=4cddfb241cb472e6&vjs=3,4.3,"$105,232 - $124,958 a year"
Analyst,Department of Transport,Melbourne City Centre VIC,https://au.indeed.com/rc/clk?jk=d704759951ffe487&fccid=2bda3e53a1cd95a8&vjs=3,4.0,"$86,558 - $98,210 a year"
Medical Scientist,The Royal Women's Hospital,Parkville VIC,https://au.indeed.com/rc/clk?jk=9f99aa9cfcab2564&fccid=5a95f39f200b3b5e&vjs=3,4.8,"$55,129 - $62,075 a year"
RESEARCH FELLOW IN SUICIDE PREVENTION,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=dcac145e38e911d0&fccid=4cddfb241cb472e6&vjs=3,4.3,"$105,232 - $124,958 a year"
Analyst,Department of Transport,Melbourne City Centre VIC,https://au.indeed.com/rc/clk?jk=d704759951ffe487&fccid=2bda3e53a1cd95a8&vjs=3,4.0,"$86,558 - $98,210 a year"
Medical Scientist,The Royal Women's Hospital,Parkville VIC,https://au.indeed.com/rc/clk?jk=9f99aa9cfcab2564&fccid=5a95f39f200b3b5e&vjs=3,4.8,"$55,129 - $62,075 a year"
RESEARCH FELLOW IN SUICIDE PREVENTION,University of Melbourne,Parkville VIC,https://au.indeed.com/rc/clk?jk=dcac145e38e911d0&fccid=4cddfb241cb472e6&vjs=3,4.3,"$105,232 - $124,958 a year"
Analyst,Department of Transport,Melbourne City Centre VIC,https://au.indeed.com/rc/clk?jk=d704759951ffe487&fccid=2bda3e53a1cd95a8&vjs=3,4.0,"$86,558 - $98,210 a year"
Medical Scientist,The Royal Women's Hospital,Parkville VIC,https://au.indeed.com/rc/clk?jk=9f99aa9cfcab2564&fccid=5a95f39f200b3b5e&vjs=3,4.8,"$55,129 - $62,075 a year"
