Title,Company,Location,Link,Salary
Principal Data Scientist,Robert Walters,Perth,https://www.seek.com.au/job/50925958?type=promoted#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Associate Partner - Data and AI,IBM,Sydney,https://www.seek.com.au/job/51079787?type=promoted#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Junior Data Scientist - Contract,Talent Insights Group Pty Ltd,Sydney,https://www.seek.com.au/job/51038882?type=standout#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Health and Safety Data Scientist,Fortescue Metals Group Ltd,Perth,https://www.seek.com.au/job/51088035?type=standout#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Data Scientist,GVC Australia,Brisbane,https://www.seek.com.au/job/51054644?type=standard#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Data Scientist,FourQuarters Recruitment,Melbourne,https://www.seek.com.au/job/51045622?type=standard#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Machine Learning Engineer,Dynamic Crowd Measurement,Sydney,https://www.seek.com.au/job/51081353?type=standard#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Data Scientist,Downer EDI Limited,ACT,https://www.seek.com.au/job/51085999?type=standard#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Research Engineer / Data Scientist,The University of Sydney,Sydney,https://www.seek.com.au/job/51052668?type=standout#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Research Engineer / Data Scientist,The University of Sydney,Sydney,https://www.seek.com.au/job/51052667?type=standout#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Data Scientist,Motion Recruitment,Sydney,https://www.seek.com.au/job/51033863?type=standout#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Data Scientist (Advanced),IAG,Sydney,https://www.seek.com.au/job/51040808?type=standard#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Data Scientist - Machine Learning,Humanised Group,Brisbane,https://www.seek.com.au/job/51053078?type=standard#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Associate Partner - Data and AI,IBM,Sydney,https://www.seek.com.au/job/51079787?type=standout#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Head of Data Science,Aurec,Sydney,https://www.seek.com.au/job/51064926?type=standard#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Machine Learning Engineer / Data Scientist,Humanised Group,Brisbane,https://www.seek.com.au/job/51053079?type=standard#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Graduate Data Engineer,Arcadis Australia Pacific,Brisbane,https://www.seek.com.au/job/51061156?type=standout#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Data Scientist,"Chief Minister, Treasury and Economic Development",ACT,https://www.seek.com.au/job/51041315?type=standout#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Data Scientist,"Chief Minister, Treasury and Economic Development",ACT,https://www.seek.com.au/job/51041316?type=standout#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Senior Data Scientist,CSIRO,Perth,https://www.seek.com.au/job/51087355?type=standout#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Senior Data Scientist,CSIRO,Perth,https://www.seek.com.au/job/51087356?type=standout#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
Data Scientist,Western Health,Melbourne,https://www.seek.com.au/job/51004046?type=standard#searchRequestToken=c948022c-eb9f-42b1-8f43-69564bfbc094,None
