Unnamed: 0,Title,Company,Location,Link,Salary,Review,Description
2.0,Junior Data Scientist - Contract,Talent Insights Group Pty Ltd,Sydney,https://www.seek.com.au/job/51038882?type=standout#searchRequestToken=4be20bc9-cf4c-4a6b-8545-c8472fcd32e3,Contract Rate - Circa $300-$450 per day,None,"This is an excellent opportunity for a ‘Junior Data Scientist’ to join a team where you will have great mentors, challenging work, access to BIG data and best in class data science tools, such as; Spark, Google Cloud Platform, BigQuery, Various Machine Learning packages and Python.
  

This top data science team builds commercial analytics and machine learning solutions that have a big impact on a large amount of Australian customers. They’ve had excellent results and are growing to improve the scalability of models, extend their work and automate various aspects of their data and ML processes. 


What business problems does this team solve?

The team uses customer, sales transaction and digital data sets to provide better deals, offers and recommendations to customers and improve sales! They work across multiple squads and projects, but everyone is using machine learning to make marketing and customer experiences more personalised.  


If you were working for this team, here are some of the things you might have done in the last 6 months:
Gain a solid understanding of the code base for one or more production machine learning models and data pipelines built with Python, SQL, Apache Spark and deployed on Google Cloud Platform. If you notice any bugs to fix, you’ll do it proactively. 
Look for ways to introduce automation - which could involve small enhancements to code, investigating or adding new features to a model or optimising / performance tuning of models 
Assisted a senior data scientist to scale a model using kubernetes or kubeflow - so it is easier to move into production and scale from X million customers to 5X million customers
Another squad may see you develop APIs to help other analytics or technology teams in the business consume and use your data science products
The datasets this teamwork on are huge, so typical tools of the trade will be Python, SQL, Spark, Google Cloud Platform, Kubernetes / GKE / Kubeflow, APIs and more from day one! 

Sounds great, what skills and experience do you need to apply?!

Experience is important. The more you can demonstrate your abilities to do similar or transferable tasks or projects in a real business, the easier it will be. 
You need skills (1 to 5 years) in data science and are already a strong practitioner with; Python, SQL and Tree-based algorithms
At least a bachelor’s degree and our preference is in Computer Science, Software Engineering or a similar field (perhaps Aeronautical Engineering?) which combines strong numerical, data and technical skills - understanding data structures, algorithms, CI/CD, etc. 
We prefer if you have already used; Kubernetes or Kubeflow for containerisation of data science solutions and either GCP, AWS or Azure
You will definitely need full, unrestricted Australian work rights and you will be based in Sydney
Heavy preference will be given to good commercial experience with data science using real customer data for big companies or start-ups
Availability preferred to be 1-4 weeks, no relocation or visa sponsorship is available

What will set you apart from all the other applicants?

We will first look at your commercial experience - where have you worked? What have you have built and how you communicate that in your CV and Cover Letter. 

Due to volume, we will contact shortlisted candidates as soon as possible for more detailed interviews and briefings"
5.0,Data Scientist,FourQuarters Recruitment,Melbourne,https://www.seek.com.au/job/51045622?type=standard#searchRequestToken=4be20bc9-cf4c-4a6b-8545-c8472fcd32e3,"$150,000 - $200,000",None,"Data Scientist
Understand of multiple data science techniques.
Extensive experience building ML models.
Experience of working end-to-end into production.
Senior Data Scientist

Our client is looking for a Senior Data scientist to work across the analytics capabilities supporting multiple business stakeholders. This is across Financial Services.

They want to continue the initiative of driving data decisions with the implementation of new models into production.

The primary focus for the team is looking at enhancing machine learning models mainly looking at operations and customer data.

The team have been working on some exciting ML models, trying to understand their customer behaviours and buying patterns more accurately. The data used is also complex in nature so the ideal candidate would be someone who has worked with large, transactional data sets.

Main Requirements;
Python and SQL
Must have ML model build and implementation experience.
Experience building/ prototyping models from scratch.
Being able to work/communicate with none technical stakeholders.
Any Cloud experience is useful.
If you are interested in the role, please apply online, or email scafferkey@fourquarters.com.au
www.fourquarters.com.au"
15.0,Data Scientist,"Chief Minister, Treasury and Economic Development",ACT,https://www.seek.com.au/job/51041315?type=standout#searchRequestToken=4be20bc9-cf4c-4a6b-8545-c8472fcd32e3,"$86,547 - $99,051",None,"Chief Minister, Treasury and Economic Development
Access Canberra
Fair Trading and Regulatory Strategy
Data and Analysis
  Data Scientist
  Administrative Services Officer Class 6
Salary Range: $86,547 - $99,051  (PN: 42953)
  Details: In Access Canberra an average 8,000 regulatory decisions are made a day, with a standard deviation of 200 decisions. Assuming Access Canberra is Normal, what is the probability that more than 8,250 decisions are made in a day? *.
Access Canberra is not a Normal Government agency.
But if you understand the significance of Normality in a skewed world, and have an interest in working in a small team that has a causal relationship with driving a key regulatory and customer service agency of the ACT Government towards greater maturity in its data culture and practice then do we have the job for you.
Access Canberra is seeking an experienced data scientist/analyst who wants an opportunity to model their end-to-end data skills in real world problems which can have real impacts on the community you live in. You will have scope to define or refine hypotheses; identify critical data; cleanse and prepare datasets; conduct statistical and analytical methods; interpret and present results. These results will be used by Access Canberra, and across the ACT Government.
*These figures are hypothetical; but bonus points if you can provide your working and answer in your pitch.
Chief Minister, Treasury and Economic Development Directorate (CMTEDD) supports workforce diversity and is committed to creating an inclusive workplace. As part of this commitment, Aboriginal and Torres Strait Islander peoples, people with disability and those who identify as LGBTIQ are encouraged to apply.
Eligibility/Other Requirements:
A formal qualification in a field of statistics/mathematics, computer science or two plus years’ experience in a data analysis role would be highly desirable.
  Notes: This is a temporary position available immediately until 30 June 2021 with the possibility of extension and/or permanency. An order of merit will be established from this selection process and may be used to fill future identical vacancies over the next 12 months.
How to Apply: For further information, please visit www.jobs.act.gov.au
Contact Officer: Linda Muscat (02) 6207 5014 Linda.Muscat@act.gov.au
    Applications Close: 10 December 2020
 "
16.0,Data Scientist,"Chief Minister, Treasury and Economic Development",ACT,https://www.seek.com.au/job/51041316?type=standout#searchRequestToken=4be20bc9-cf4c-4a6b-8545-c8472fcd32e3,"$86,547 - $99,051",None,"Chief Minister, Treasury and Economic Development
Access Canberra
Fair Trading and Regulatory Strategy
Data and Analysis
  Data Scientist
  Administrative Services Officer Class 6
Salary Range: $86,547 - $99,051  (PN: 42953)
  Details: In Access Canberra an average 8,000 regulatory decisions are made a day, with a standard deviation of 200 decisions. Assuming Access Canberra is Normal, what is the probability that more than 8,250 decisions are made in a day? *.
Access Canberra is not a Normal Government agency.
But if you understand the significance of Normality in a skewed world, and have an interest in working in a small team that has a causal relationship with driving a key regulatory and customer service agency of the ACT Government towards greater maturity in its data culture and practice then do we have the job for you.
Access Canberra is seeking an experienced data scientist/analyst who wants an opportunity to model their end-to-end data skills in real world problems which can have real impacts on the community you live in. You will have scope to define or refine hypotheses; identify critical data; cleanse and prepare datasets; conduct statistical and analytical methods; interpret and present results. These results will be used by Access Canberra, and across the ACT Government.
*These figures are hypothetical; but bonus points if you can provide your working and answer in your pitch.
Chief Minister, Treasury and Economic Development Directorate (CMTEDD) supports workforce diversity and is committed to creating an inclusive workplace. As part of this commitment, Aboriginal and Torres Strait Islander peoples, people with disability and those who identify as LGBTIQ are encouraged to apply.
Eligibility/Other Requirements:
A formal qualification in a field of statistics/mathematics, computer science or two plus years’ experience in a data analysis role would be highly desirable.
  Notes: This is a temporary position available immediately until 30 June 2021 with the possibility of extension and/or permanency. An order of merit will be established from this selection process and may be used to fill future identical vacancies over the next 12 months.
How to Apply: For further information, please visit www.jobs.act.gov.au
Contact Officer: Linda Muscat (02) 6207 5014 Linda.Muscat@act.gov.au
    Applications Close: 10 December 2020
 "
17.0,Senior Data Scientist,CSIRO,Perth,https://www.seek.com.au/job/51087355?type=standout#searchRequestToken=4be20bc9-cf4c-4a6b-8545-c8472fcd32e3,$113k - $132k p.a. + up to 15.4% superannuation,3.8 overall rating (142 employee reviews),"Senior Data Scientist
The Opportunity
Are you ready for the next step in your career?
Provide key input into strategic planning for Pawsey Data Analytics services
Join CSIRO and support Australia's premier scientific organisation!
The Pawsey Supercomputing Centre is a tier-1 high-performance computing facility accelerating scientific discoveries for Australia's researchers. A technical aptitude, strong interpersonal skills and a desire to learn are essential to support the researchers and to grow with technology.

The successful candidate will be responsible for engaging with multi-disciplinary researchers to facilitate and optimise Data Analytics workflows using Pawsey's compute and storage facilities. This will require effective communication with targeted research groups from a broad range of disciplines

You will provide input to strategy for future planning as well as liaising with external stakeholders to promote the use of Pawsey facilities. The role will be crucial in defining and building new services for the next-generation Pawsey's infrastructure as well as supporting AI and Machine Learning workloads at extreme scale.
Your duties will include:
Provide key input into strategic planning for Pawsey Data Analytics services.
Work with a team to ensure the effective operation of Pawsey's Data Analytics services.
Develop and maintain excellent relationships with stakeholders in the research community; promoting Pawsey services and capabilities.
Location: Kensington, WA

Salary: AU$113k - AU$132k plus up to 15.4% superannuation

Tenure: Indefinite

Reference: 70422
To be considered you will need:
Relevant postgraduate degree or equivalent experience in a STEM field.
Demonstrated knowledge in the mathematical principles behind Data Science (statistics, calculus, linear algebra).
Demonstrated experience in applied Data Science within one or more research domains.
Demonstrated experience with machine learning tools and programming languages such as Python, C++, R.
Demonstrated experience in handling large and/or complex data sets.
Demonstrated track record of leading and contributing to data projects, providing strategic input, and collaborating within a research environment.
Demonstrated track record of developing and delivering technical training.
For full details about this role please review the Position Description
Eligibility
The successful applicant will be required to obtain and provide a National Police Check or equivalent.
Flexible Working Arrangements
We work flexibly at CSIRO, offering a range of options for how, when and where you work. Talk to us about how this role could be flexible for you. Balance
Diversity and Inclusion
We are working hard to recruit diverse people and ensure that all our people feel supported to do their best work and feel empowered to let their ideas flourish. Diversity and Inclusion Strategy

We are committed to the safety and wellbeing of all children and young people.
About CSIRO
At CSIRO, Australia's national science agency, we solve the greatest challenges through innovative science and technology.

Join us and start creating tomorrow today!
How to Apply
Please apply on-line and provide a cover letter and CV that best demonstrate your motivation and ability to meet the requirements of this role.
Applications Close
Sunday 10 January 2021, 11:00pm AEST
For the selection documentation and details on how to apply, visit www.csiro.au/careers or call 1300 984 220"
18.0,Senior Data Scientist,CSIRO,Perth,https://www.seek.com.au/job/51087356?type=standout#searchRequestToken=4be20bc9-cf4c-4a6b-8545-c8472fcd32e3,$113k - $132k p.a. + up to 15.4% superannuation,3.8 overall rating (142 employee reviews),"Senior Data Scientist
The Opportunity
Are you ready for the next step in your career?
Provide key input into strategic planning for Pawsey Data Analytics services
Join CSIRO and support Australia's premier scientific organisation!
The Pawsey Supercomputing Centre is a tier-1 high-performance computing facility accelerating scientific discoveries for Australia's researchers. A technical aptitude, strong interpersonal skills and a desire to learn are essential to support the researchers and to grow with technology.

The successful candidate will be responsible for engaging with multi-disciplinary researchers to facilitate and optimise Data Analytics workflows using Pawsey's compute and storage facilities. This will require effective communication with targeted research groups from a broad range of disciplines

You will provide input to strategy for future planning as well as liaising with external stakeholders to promote the use of Pawsey facilities. The role will be crucial in defining and building new services for the next-generation Pawsey's infrastructure as well as supporting AI and Machine Learning workloads at extreme scale.
Your duties will include:
Provide key input into strategic planning for Pawsey Data Analytics services.
Work with a team to ensure the effective operation of Pawsey's Data Analytics services.
Develop and maintain excellent relationships with stakeholders in the research community; promoting Pawsey services and capabilities.
Location: Kensington, WA

Salary: AU$113k - AU$132k plus up to 15.4% superannuation

Tenure: Indefinite

Reference: 70422
To be considered you will need:
Relevant postgraduate degree or equivalent experience in a STEM field.
Demonstrated knowledge in the mathematical principles behind Data Science (statistics, calculus, linear algebra).
Demonstrated experience in applied Data Science within one or more research domains.
Demonstrated experience with machine learning tools and programming languages such as Python, C++, R.
Demonstrated experience in handling large and/or complex data sets.
Demonstrated track record of leading and contributing to data projects, providing strategic input, and collaborating within a research environment.
Demonstrated track record of developing and delivering technical training.
For full details about this role please review the Position Description
Eligibility
The successful applicant will be required to obtain and provide a National Police Check or equivalent.
Flexible Working Arrangements
We work flexibly at CSIRO, offering a range of options for how, when and where you work. Talk to us about how this role could be flexible for you. Balance
Diversity and Inclusion
We are working hard to recruit diverse people and ensure that all our people feel supported to do their best work and feel empowered to let their ideas flourish. Diversity and Inclusion Strategy

We are committed to the safety and wellbeing of all children and young people.
About CSIRO
At CSIRO, Australia's national science agency, we solve the greatest challenges through innovative science and technology.

Join us and start creating tomorrow today!
How to Apply
Please apply on-line and provide a cover letter and CV that best demonstrate your motivation and ability to meet the requirements of this role.
Applications Close
Sunday 10 January 2021, 11:00pm AEST
For the selection documentation and details on how to apply, visit www.csiro.au/careers or call 1300 984 220"
21.0,Senior Data Scientist - 6m,Bench Services Pty Ltd,Melbourne,https://www.seek.com.au/job/51074177?type=standout#searchRequestToken=4be20bc9-cf4c-4a6b-8545-c8472fcd32e3,$650 - $700 inc super,None,"More than a contractor, I'm a Benchr
Senior Data Scientist - 6m
Our client currently seeks a Senior Data Scientist to join the team in Melbourne for this large project.
Must-Have Primary Skill:
- NTTDS -Data Scientist-Python-Medical Imaging
POSITION GENERAL DUTIES AND TASKS: 
- Python:. (PySpark, TensorFlow, Pandas, other ML libraries, Visualization libraries).
- AWS:. (IAM, EC2, VPC, S3, SageMaker, QuickSight, lambda, CloudFront).  
- Experience in building, training and deploying  Machine Learning models.
- Programming experience with S3, SageMaker, lambda etc. 
- Extensive development experience with Spark framework..  . - CI/CD pipeline in AWS
- Codebuild, Codpipeline, Stepfunctions etc. 

Good to have:.
Container services (ECS, EKS, Docker)
Apply now!
Better rates. Exclusive opportunities.
No more chasing recruiters."
26.0,Data Scientist,Bluefin Resources Pty Limited,Sydney,https://www.seek.com.au/job/50989498?type=standard#searchRequestToken=42aff89c-c0f9-4060-a10e-b2db3936abc8,$110k - $120000.00 p.a. + +super + bonus + benefit,None,"Data Analytics Recruitment Solutions
Data Scientist
Customer , Product and Pricing Analytics
Predictive Analytics and Machine Learning
Growing Retail Brand
The Company
My client is one of Australia's largest retail groups who are award winners for their innovation and customer focus and their multi-channel initiatives. They are embarking on their next generation of growth - their family of leading brands are well respected and highly visible throughout Australia, New Zealand and the world and Data & Analytics is one of the most critical enablers of their future success.
The Role
Reporting in to the Head of Analytics, you'll work closely with key stakeholders across Customer, Product and Pricing teams to make informed decisions through the application of predictive analytics and machine learning techniques.
Working with a broader Analytics Team, you will be responsible for the end-to-end data science execution including scoping, building, testing, implementation, maintenance, tracking and optimisation of predictive models.
Key Responsibilities
Partnering with key stakeholders to identify data led solutions and insights to drive customer and product pricing strategies
Build predictive models and machine-learning algorithms to calculate elasticity and optimise price utilising customer, product and transactional data
Applying advanced statistical and machine learning techniques including GLM, Random Forests, GBM, xGBoost, etc
About You
Minimum of 2-3 years' experience in developing predictive models in commercial environments (exposure to pricing is a big plus)
Tertiary qualified in relevant discipline (Statistics, Data Science, Mathematics, Computer Science)
Proven commercial experience in statistical and machine learning modelling, with experience manipulating and 'making sense' of big data from disparate systems.
Exposure to Big Data platforms, such as Data bricks or Spark
Experience with SQL essential; exposure to Azure or GCP a big plus.
This is a great opportunity to work with a market leading brand that offers excellent training and development to support continuous learning and careers opportunities.
Please apply on-line below
IMPORTANT: By submitting your email address and any other personal information when you APPLY to a job, you consent to such information being collected, held, used and disclosed in accordance with our COLLECTIONS NOTICE and PRIVACY POLICY.
http://www.bluefinresources.com.au/privacy-policy
www.bluefinresources.com.au"
35.0,Data Analytics Lead,Bluefin Resources Pty Limited,Melbourne,https://www.seek.com.au/job/51087113?type=standard#searchRequestToken=42aff89c-c0f9-4060-a10e-b2db3936abc8,"$160,000 - $170,000 package",None,"Data Analytics Recruitment Solutions
Data Analytics Lead
Melbourne Based
Customer Targeting, Customer Segmentation, Up-Sell
ETL, Advanced Analytics and Insights
Accountability
SQL Programming, specifically in large-scale column-orientated databases or compute-on-demand infrastructure (BigQuery, Athena)
Quantitative Analysis, Data Visualisation, and Data Mining
Write ETL processes to transform high volume data into consumable formats for analytics
Deliver complex and advanced analytics across segmentation, propensity modelling, or recommendation
Visualise data through tools such as Tableau
Work with data engineers and developers to meet business goals
Skills Required
Tertiary qualification in a quantitative field
Proven experience delivering complex and advanced analytic models
Experience in customer behaviour analysis and modelling is required
Ability to scope problems, recommend solutions, and provide advice to key stakeholders
Please apply online to be considered for the role or contact Corrin Pal on or 03 8330 5003 for more information.
IMPORTANT: By submitting your email address and any other personal information when you APPLY to a job, you consent to such information being collected, held, used and disclosed in accordance with our COLLECTIONS NOTICE and PRIVACY POLICY.
http://www.bluefinresources.com.au/privacy-policy
www.bluefinresources.com.au"
41.0,Data Scientist,Bluefin Resources Pty Limited,Melbourne,https://www.seek.com.au/job/50978948?type=standard#searchRequestToken=42aff89c-c0f9-4060-a10e-b2db3936abc8,$140k - $150k base + Super,None,"Data Analytics Recruitment Solutions
Data Scientist
View to Permanent
Lead the Data Science strategy
Competitive Base Salary + Bonus
Key Responsibilities:
Be a leader in the Data Science community and providing best-fit recommendations
Extract key insights using advanced analytics methods and techniques
Uplift the data science capabilities and be a key advocate for data-driven approaches
Hands-on analysis and model building based on business requirements
Liaise with various teams and functions (incl. Data Governance, Marketing, IT and etc.) to meet business goals
Skills Required:
Tertiary qualification in a relevant field (e.g. mathematics, statistics, physics, economics, or computing and engineering)
Proven experience working with complex data structures
Be adaptable to changes in a fast-paced environment
Excellent communication both verbal and written
Programming skills in SQL and R/Python
This is a fantastic opportunity to work with a global leader and take on a role to build the business' data science capability from the ground up. Please click 'apply' to be considered or contact Corrin on 03 8330 5003 for a further discussion.
IMPORTANT: By submitting your email address and any other personal information when you APPLY to a job, you consent to such information being collected, held, used and disclosed in accordance with our COLLECTIONS NOTICE and PRIVACY POLICY.
http://www.bluefinresources.com.au/privacy-policy
www.bluefinresources.com.au"
